"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio",Objetivo,Alcance,Impressões,Frequência,"Tipo de resultado",Resultados,"Valor usado (BRL)","Conversas por mensagem iniciadas",Leads,"Cliques (todos)","Início dos relatórios","Término dos relatórios"
"RPA-[Leads]-[Revisão Energia]-[PE]",[PE]-[Leads],"AD01-[Video]-[Branco]-[Tem empréstimo na conta de luz]",OUTCOME_LEADS,87500,333842,3.81533714,"Leads (formulário)",870,3534.32,676,872,6318,2025-08-01,2026-02-11
"RPA-[Leads]-[Revisão Energia]-[RS]",[RS]-[Leads]-[Cidades-RGE],"AD01-[Video]-[Branco]-[Tem empréstimo na conta de luz]",OUTCOME_LEADS,127080,410394,3.22941454,"Leads (formulário)",1038,3474.49,822,1038,6754,2025-08-01,2026-02-11
"RPA-[Leads]-[Revisão Energia]-[RS]",[RS]-[Leads]-[Cidades-RGE]-[Whats-9073],"AD01-[Video]-[Branco]-[Tem empréstimo na conta de luz]",OUTCOME_LEADS,103071,326039,3.16324669,"Conversas por mensagem iniciadas",1311,3313.46,1311,,4995,2025-08-01,2026-02-11
RPA-[Mensagem]-[Empréstimo]-[RS],[RS]-[25-45]-[Whats-6598]-[Vídeo],AD04-[Vídeo]-[Empréstimo],OUTCOME_LEADS,66611,194251,2.91620003,"Conversas por mensagem iniciadas",1127,2912.84,1127,,2774,2025-08-01,2026-02-11
"RPA-[Leads]-[Revisão Crediário]-[RS]","[RS]-[Leads]-[Excluir SAP e Caraá]","AD03-[Vídeo]-[Azul]-[Empréstimo na conta]",OUTCOME_LEADS,27456,61312,2.23310023,"Leads (formulário)",203,1851.41,,203,1899,2025-08-01,2026-02-11
"RPA-[Leads]-[Financiamento Veicular]","[RS]-[Leads]-[Excluir SAP e Caraá]","AD02-[Vídeo]-[Azul]-[Financiamento veicular] — Cópia",OUTCOME_LEADS,10547,33935,3.21750261,"Leads (formulário)",47,1451.57,,47,1593,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[RS]-[LIA]",[RS]-[Leads]-[Cidades-RGE],"AD01-[Video]-[Branco]-[Tem empréstimo na conta de luz]",OUTCOME_LEADS,33261,77467,2.32906407,"Conversas por mensagem iniciadas",494,981.82,494,,1392,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[RS]",[RS]-[Whatsapp-7068],"AD02-[Video]-[Branco]-[Tem empréstimo na conta de luz]",OUTCOME_ENGAGEMENT,43728,81406,1.86164471,"Conversas por mensagem iniciadas",477,705.7,477,,2813,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[RS]","001 aberto — Cópia",AD01,OUTCOME_ENGAGEMENT,22714,36612,1.61186933,"Conversas por mensagem iniciadas",137,481.87,137,,1241,2025-08-01,2026-02-11
"RPA-[Leads]-[Revisão Energia]-[PE]",[PE]-[Leads]-[Whats-9073],"AD01-[Video]-[Branco]-[Tem empréstimo na conta de luz]",OUTCOME_LEADS,23023,33148,1.43977761,"Conversas por mensagem iniciadas",337,423.45,337,,736,2025-08-01,2026-02-11
"RPA-[Leads]-[Formulário Nativo]-{[RS]-[PR]}",[RS]-[Whatsapp-7068]-[25+],"AD01-[Video]-[Branco]-[Tem empréstimo na conta de energia]",OUTCOME_LEADS,22216,32113,1.44548974,"Leads (formulário)",125,356.14,112,125,658,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[PR]",[PR]-[Mensagem]-[Whatsapp-9073],"AD01-[Video]-[Branco]-[Tem empréstimo na conta de luz]",OUTCOME_ENGAGEMENT,19355,27217,1.40619995,"Conversas por mensagem iniciadas",179,250.57,179,,990,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[RS]",[RS]-[Mensagem]-[Whatsapp-9459],"AD01-[Video]-[Branco]-[Tem empréstimo na conta de luz]",OUTCOME_ENGAGEMENT,25418,33090,1.30183335,"Conversas por mensagem iniciadas",151,245.48,151,,1092,2025-08-01,2026-02-11
"RPA-[Leads]-[Revisão Energia]-[RS]",[RS]-[Leads],"AD01-[Video]-[Branco]-[Tem empréstimo na conta de luz]",OUTCOME_LEADS,11083,18918,1.70693855,"Leads (formulário)",88,231.65,70,88,533,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[RS]",[RS]-[Whatsapp-7068],"AD02-[Video]-[Azul]-[Fez empréstimo na conta de luz]",OUTCOME_ENGAGEMENT,8851,13473,1.52220088,"Conversas por mensagem iniciadas",88,209.59,88,,269,2025-08-01,2026-02-11
"[Teste]-[Mensagem]-[Revisão Energia]-{[RS]-[Segmentado]}",[RS]-[Whatsapp-7068]-{[F]-[35-55]-[FB]-[Caxias_do_Sul]},"AD03 - [Vídeo] - Se você é responsável",OUTCOME_ENGAGEMENT,5204,11222,2.15641814,"Conversas por mensagem iniciadas",24,208.3,24,,166,2025-08-01,2026-02-11
RPA-[Tráfego]-[Veículos]-[RS],[RS]-[RS]-[25-45]-[Calculadora]-[Whats-6598],"AD02-[Vídeo]-[Azul]-[Financiamento veicular]",OUTCOME_LEADS,17749,29318,1.65181137,"Visualizações da página de destino do site",399,183.89,,,804,2025-08-01,2026-02-11
"RPA-[Leads]-[Revisão Energia]-[PR]",[PR]-[Leads],"AD01-[Video]-[Branco]-[Tem empréstimo na conta de luz]",OUTCOME_LEADS,7306,11871,1.62482891,"Leads (formulário)",12,181.21,7,12,217,2025-08-01,2026-02-11
"[Teste]-[Mensagem]-[Revisão Energia]-{[RS]-[Amplo]}",[RS]-[Whatsapp-7068]-[Amplo],"AD03-[Video]-[Roxo]- Se você é responsável",OUTCOME_ENGAGEMENT,11729,18092,1.54250149,"Conversas por mensagem iniciadas",95,169.1,95,,345,2025-08-01,2026-02-11
"RPA-[Leads]-[Revisão Crediário]-[RS]","[RS]-[Leads]-[Excluir SAP e Caraá]","AD01-[Video]-[Lilás]-[Tem empréstimo no crediário]",OUTCOME_LEADS,3562,6044,1.69679955,"Leads (formulário)",5,132.83,,5,137,2025-08-01,2026-02-11
RPA-[Tráfego]-[Veículos]-[RS],[RS]-[RS]-[25-45]-[Calculadora]-[Whats-6598],"AD02-[Vídeo]-[Cinza]-[Financiamento veicular]",OUTCOME_LEADS,14099,21900,1.55330165,"Visualizações da página de destino do site",270,130.4,,,525,2025-08-01,2026-02-11
RPA-[Mensagem]-[Empréstimo]-[RS],[RS]-[25-45]-[Whats-6598]-[Card],"AD02-[Card]-[Pagando Juros Altos Simplificado]",OUTCOME_LEADS,1704,3191,1.87265258,"Conversas por mensagem iniciadas",4,105.93,4,,23,2025-08-01,2026-02-11
"Post do Instagram: Vai financiar seu CARRO 🚗 ou...","Post do Instagram: Vai financiar seu CARRO 🚗 ou...","Post do Instagram: Vai financiar seu CARRO 🚗 ou...",OUTCOME_ENGAGEMENT,1981,3258,1.64462393,"Conversas por mensagem iniciadas",9,103.42,9,,24,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[PR]",[PR]-[Whatsapp-7068],"AD03-[Video]-[Roxo]-[Se você é responsável]",OUTCOME_ENGAGEMENT,7162,10334,1.44289305,"Conversas por mensagem iniciadas",15,98.77,15,,115,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[PR]",[PR]-[Whatsapp-7068],"AD02-[Video]-[Azul]-[Fez empréstimo na conta de luz]",OUTCOME_ENGAGEMENT,5608,8151,1.45345934,"Conversas por mensagem iniciadas",14,93.37,14,,111,2025-08-01,2026-02-11
"RPA-[Mensagem]-[Revisão Energia]-[RS]","001 aberto — Cópia",ADV01,OUTCOME_ENGAGEMENT,4980,6915,1.38855422,"Conversas por mensagem iniciadas",17,91.13,17,,77,2025-08-01,2026-02-11
