Dia,Objetivo,"Nome do conjunto de anúncios","Nome do anúncio",Idade,Gênero,Alcance,Impressões,Frequência,"Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado","CPC (custo por clique no link)","CPM (custo por 1.000 impressões)","Cliques (todos)","CTR (todos)","Início dos relatórios","Término dos relatórios"
2026-03-18,OUTCOME_AWARENESS,"[Benditta] - [Alcance] - [IG] - [Metropolitana]","[Reels] - [Por trás de cada ambiente pronto]",45-54,unknown,1,1,1,Alcance,1,0,0,,0,0,0,2026-03-18,2026-03-18
2026-03-18,OUTCOME_AWARENESS,"[Benditta] - [Alcance] - [IG] - [Metropolitana]","[Reels] - [Por trás de cada ambiente pronto]",45-54,male,96,97,1.01041667,Alcance,96,0.14,1.45833333,,1.44329897,0,0,2026-03-18,2026-03-18
2026-03-18,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG, FB, WA] - [Metropolitana]","[Video 001-v2]",45-54,male,25,30,1.2,,,0.35,,,11.66666667,0,0,2026-03-18,2026-03-18
2026-03-18,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG, FB, WA] - [Metropolitana]","[Video 001-v2]",35-44,male,246,269,1.09349593,"Conversas por mensagem iniciadas",1,4.59,4.59,4.59,17.06319703,3,1.11524164,2026-03-18,2026-03-18
2026-03-18,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG, FB, WA] - [Metropolitana]","[Video 001-v2]",35-44,female,488,532,1.09016393,,,9.28,,9.28,17.44360902,3,0.56390977,2026-03-18,2026-03-18
2026-03-18,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG, FB, WA] - [Metropolitana]","[Video 001-v2]",25-34,female,249,276,1.10843373,,,3.47,,,12.57246377,1,0.36231884,2026-03-18,2026-03-18
2026-03-18,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG, FB, WA] - [Metropolitana]","[Video 001-v2]",45-54,female,34,39,1.14705882,,,0.44,,,11.28205128,0,0,2026-03-18,2026-03-18
2026-03-18,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG, FB, WA] - [Metropolitana]","[Video 001-v2]",25-34,male,148,167,1.12837838,,,1.35,,,8.08383234,1,0.5988024,2026-03-18,2026-03-18
2026-03-18,OUTCOME_AWARENESS,"[Benditta] - [Alcance] - [IG] - [Metropolitana]","[Reels] - [Por trás de cada ambiente pronto]",35-44,unknown,1,1,1,Alcance,1,0,0,,0,0,0,2026-03-18,2026-03-18
2026-03-18,OUTCOME_AWARENESS,"[Benditta] - [Alcance] - [IG] - [Metropolitana]","[Reels] - [Por trás de cada ambiente pronto]",18-24,unknown,2,2,1,Alcance,2,0,0,,0,0,0,2026-03-18,2026-03-18
2026-03-18,OUTCOME_AWARENESS,"[Benditta] - [Alcance] - [IG] - [Metropolitana]","[Reels] - [Por trás de cada ambiente pronto]",65+,male,27,28,1.03703704,Alcance,27,0.02,0.74074074,,0.71428571,0,0,2026-03-18,2026-03-18
2026-03-18,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG, FB, WA] - [Metropolitana]","[Video 001-v2]",35-44,unknown,4,4,1,,,0.19,,,47.5,0,0,2026-03-18,2026-03-18
2026-03-18,OUTCOME_AWARENESS,"[Benditta] - [Alcance] - [IG] - [Metropolitana]","[Reels] - [Por trás de cada ambiente pronto]",25-34,male,801,819,1.02247191,Alcance,801,0.99,1.23595506,0.99,1.20879121,1,0.12210012,2026-03-18,2026-03-18
